site,pop15,funds16,pop19,funds19,area18,area15,compliance,nccgs,effectiveness
11,242387,2743000,247258,3600000,61618798.8,61618786.83,0.95,1,79.4
1,579641,5645000,587936,7300000,1410606172,1410606209,0.633333333,3,78.1
12,870507,8926000,889112,9000000,3753691761,3753691709,0.35,1,51
13,243837,5816000,262226,6900000,21272196.43,21272322.47,0.95,1,60.5
2,403785,4281000,409248,5200000,2226459333,2226459350,0.4,1,75.5
14,1146274,13393000,1164748,13900000,1569250683,1569250668,0.9,2,70.6
3,294999,2131000,303536,2800000,34350842.67,34350557.29,0.5,1,69.2
15,213581,115000,214109,3400000,44068000.76,44068008.15,0.85,1,78.1
16,774995,10641000,802035,11400000,209775245,210577294.1,0.6375,4,74.9
4,705899,7422000,730650,8490000,2080270756,2080270783,0.45,2,63.4
5,1001432,8076000,1021991,13800000,5757973412,5757972712,0.59,5,66.8
6,210538,2173000,215133,2300000,39016466.52,39016519.57,0.9,1,76.8
7,246054,4192000,252796,4200000,52220563.77,52220563.77,0.8,1,65
17,288169,673000,291775,3400000,125616974.7,125523298.8,0.35,1,66.3
8,259912,2792000,264149,3700000,141017950.2,141017907.8,0.8,1,59.2
9,276813,4886000,277417,5400000,136583874.8,136583846.2,0.9,1,72.9
18,293828,300000,317705,4800000,20362986.49,20363106.01,0.4,1,77.8
19,270671,2900000,276700,1800000,39216087.47,39216126.55,1,1,64.4
20,207781,1800000,209547,2200000,178711644.2,178711662.1,0.85,1,60.3
10,298830,2731000,307344,3000000,1274671440,1274671370,0.4,1,61.9
