LSOA11CD,CCG16CD,site
E01010638,E38000001,1
E01017710,E38000003,NA
E01010767,E38000001,1
E01017653,E38000003,NA
E01010639,E38000001,1
E01010640,E38000001,1
E01010641,E38000001,1
E01010642,E38000001,1
E01010643,E38000001,1
E01010644,E38000001,1
E01010645,E38000001,1
E01010646,E38000001,1
E01010647,E38000001,1
E01010648,E38000001,1
E01010691,E38000001,1
E01010692,E38000001,1
E01010693,E38000001,1
E01010694,E38000001,1
E01010695,E38000001,1
E01010696,E38000001,1
E01010697,E38000001,1
E01010698,E38000001,1
E01010699,E38000001,1
E01010700,E38000001,1
E01010701,E38000001,1
E01010702,E38000001,1
E01010768,E38000001,1
E01010769,E38000001,1
E01010703,E38000001,1
E01017654,E38000003,NA
E01010770,E38000001,1
E01017711,E38000003,NA
E01010704,E38000001,1
E01010771,E38000001,1
E01017655,E38000003,NA
E01010705,E38000001,1
E01017712,E38000003,NA
E01010772,E38000001,1
E01010706,E38000001,1
E01017657,E38000003,NA
E01010707,E38000001,1
E01017713,E38000003,NA
E01010708,E38000001,1
E01023975,E38000002,NA
E01010773,E38000001,1
E01023976,E38000002,NA
E01010709,E38000001,1
E01017714,E38000003,NA
E01017658,E38000003,NA
E01010774,E38000001,1
E01010710,E38000001,1
E01017659,E38000003,NA
E01023977,E38000002,NA
E01017715,E38000003,NA
E01010854,E38000001,1
E01010711,E38000001,1
E01017660,E38000003,NA
E01023978,E38000002,NA
E01017716,E38000003,NA
E01010855,E38000001,1
E01010712,E38000001,1
E01010713,E38000001,1
E01010714,E38000001,1
E01010715,E38000001,1
E01010716,E38000001,1
E01010717,E38000001,1
E01010718,E38000001,1
E01010719,E38000001,1
E01010720,E38000001,1
E01010721,E38000001,1
E01010722,E38000001,1
E01010723,E38000001,1
E01010724,E38000001,1
E01010725,E38000001,1
E01010726,E38000001,1
E01010727,E38000001,1
E01010728,E38000001,1
E01010729,E38000001,1
E01023979,E38000002,NA
E01023980,E38000002,NA
E01023981,E38000002,NA
E01023983,E38000002,NA
E01023984,E38000002,NA
E01023985,E38000002,NA
E01023986,E38000002,NA
E01023987,E38000002,NA
E01023988,E38000002,NA
E01023989,E38000002,NA
E01023990,E38000002,NA
E01023992,E38000002,NA
E01023993,E38000002,NA
E01023995,E38000002,NA
E01023996,E38000002,NA
E01023997,E38000002,NA
E01023998,E38000002,NA
E01023999,E38000002,NA
E01024001,E38000002,NA
E01024002,E38000002,NA
E01024003,E38000002,NA
E01024004,E38000002,NA
E01000006,E38000004,NA
E01024005,E38000002,NA
E01024006,E38000002,NA
E01024008,E38000002,NA
E01024009,E38000002,NA
E01024010,E38000002,NA
E01024011,E38000002,NA
E01024012,E38000002,NA
E01024013,E38000002,NA
E01024014,E38000002,NA
E01024015,E38000002,NA
E01024016,E38000002,NA
E01024017,E38000002,NA
E01024019,E38000002,NA
E01024020,E38000002,NA
E01024021,E38000002,NA
E01024022,E38000002,NA
E01024023,E38000002,NA
E01024024,E38000002,NA
E01024025,E38000002,NA
E01024026,E38000002,NA
E01024027,E38000002,NA
E01024028,E38000002,NA
E01024029,E38000002,NA
E01024031,E38000002,NA
E01017717,E38000003,NA
E01017661,E38000003,NA
E01010856,E38000001,1
E01000007,E38000004,NA
E01000008,E38000004,NA
E01000009,E38000004,NA
E01000010,E38000004,NA
E01000011,E38000004,NA
E01000012,E38000004,NA
E01000013,E38000004,NA
E01000014,E38000004,NA
E01000015,E38000004,NA
E01000016,E38000004,NA
E01000017,E38000004,NA
E01000018,E38000004,NA
E01000019,E38000004,NA
E01000020,E38000004,NA
E01000021,E38000004,NA
E01000058,E38000004,NA
E01000022,E38000004,NA
E01000023,E38000004,NA
E01000024,E38000004,NA
E01000025,E38000004,NA
E01000027,E38000004,NA
E01000028,E38000004,NA
E01000029,E38000004,NA
E01000030,E38000004,NA
E01000031,E38000004,NA
E01000032,E38000004,NA
E01000033,E38000004,NA
E01000034,E38000004,NA
E01000035,E38000004,NA
E01000036,E38000004,NA
E01000037,E38000004,NA
E01000038,E38000004,NA
E01000039,E38000004,NA
E01000040,E38000004,NA
E01000041,E38000004,NA
E01000042,E38000004,NA
E01000043,E38000004,NA
E01000044,E38000004,NA
E01000045,E38000004,NA
E01000046,E38000004,NA
E01000048,E38000004,NA
E01000049,E38000004,NA
E01000050,E38000004,NA
E01000051,E38000004,NA
E01000052,E38000004,NA
E01000053,E38000004,NA
E01000054,E38000004,NA
E01000055,E38000004,NA
E01024032,E38000002,NA
E01000056,E38000004,NA
E01000057,E38000004,NA
E01017662,E38000003,NA
E01010857,E38000001,1
E01017718,E38000003,NA
E01017663,E38000003,NA
E01024033,E38000002,NA
E01017664,E38000003,NA
E01010858,E38000001,1
E01024034,E38000002,NA
E01017719,E38000003,NA
E01017665,E38000003,NA
E01010859,E38000001,1
E01000059,E38000004,NA
E01010860,E38000001,1
E01017666,E38000003,NA
E01017720,E38000003,NA
E01000060,E38000004,NA
E01010861,E38000001,1
E01024035,E38000002,NA
E01017667,E38000003,NA
E01017721,E38000003,NA
E01000061,E38000004,NA
E01010862,E38000001,1
E01024036,E38000002,NA
E01017668,E38000003,NA
