"","site","time","intervention","total_fidelity","macro","meso","micro","compliance","nccgs","effectiveness","high","popd","funds","IMD","group","G1","G2","G3","G4","g1w"
"1","Bexley","BL","iTHR",134,34.5,47,52.5,0.95,1,79.4,1,39.3365420628487,27.43,146,"G1",0.536775249034491,0.400253379192165,0.0353986031762636,0.0275727685970804,1
"2","Bexley","FU","iTHR",145.775,37.797,51.082,56.896,0.95,1,79.4,1,40.1270399318463,36,144,"G2",0.509461556823938,0.433771512495692,0.0277560309895586,0.029010899690811,1.17449288887776
"3","Bradford","BL","Ctrl",139.5,43,51.5,45,0.633333333,3,78.1,1,4.10916240338199,56.45,24,"G3",0.0362150467422399,0.0171168744861605,0.635513316678322,0.311154762093278,0.0569855041457312
"4","Bradford","FU","Ctrl",137.5,43,51,43.5,0.633333333,3,78.1,1,4.16796701779921,73,16,"G4",0.0347375973276403,0.0209794464577269,0.507543541470305,0.436739414744328,0.0795384985987035
"5","CambPeter","BL","iTHR",158.5,46.5,56.5,55.5,0.35,1,51,0,2.31906897924738,89.26,143,"G1",0.183789775269134,0.334514843525829,0.0903632114273602,0.391332169777677,1
"6","CambPeter","FU","iTHR",161,50,56,55,0.35,1,51,0,2.36863348567315,90,142,"G2",0.180533901166763,0.33203843394452,0.0894923040790537,0.397935360809663,0.543713867765465
"7","Camden","BL","iTHR",180.25,57.25,65,58,0.95,1,60.5,0,114.626412016779,58.16,63,"G1",0.389746142929019,0.588498279434647,0.00433659994697118,0.0174189776893627,1
"8","Camden","FU","iTHR",195,62.5,69,63.5,0.95,1,60.5,0,123.271708618761,69,104,"G2",0.338918500889521,0.657034092454456,0.000597868744000558,0.00344953791202307,0.515830920772218
"9","EastSuff","BL","Ctrl",140,43,50.5,46.5,0.4,1,75.5,1,1.8135745438155,42.81,132,"G3",0.180871239022153,0.157687289842213,0.34126742280952,0.320174048326114,0.529998549328594
"10","EastSuff","FU","Ctrl",132,42.5,49.5,40,0.4,1,75.5,1,1.83811127351051,52,127,"G4",0.167910604673814,0.167622858140695,0.290911832417553,0.373554704767938,0.449494016621004
"11","Herts","BL","iTHR",139.5,46.5,49.5,43.5,0.9,2,70.6,1,7.30459462834525,133.93,171,"G1",0.276094561189865,0.681718584521431,0.00353300020193714,0.0386538540867668,1
"12","Herts","FU","iTHR",165,57,57,51,0.9,2,70.6,1,7.42231953516378,139,171,"G2",0.261304239557297,0.697734346065919,0.00293247453577937,0.0380289398410044,0.374503908300668
"13","Lewisham","BL","Ctrl",143,42,45,56,0.5,1,69.2,1,85.8789560557956,21.31,39,"G3",0.303589753325442,0.24269411196488,0.235572974874602,0.218143159835076,1.28872912305431
"14","Lewisham","FU","Ctrl",133,39,43.5,50.5,0.5,1,69.2,1,88.3634800217261,28,51,"G4",0.356601134245985,0.323641183162966,0.14821081727286,0.171546865318189,2.07873885415832
"15","Luton","BL","iTHR",136.5,41,51.5,44,0.85,1,78.1,1,48.4662250385828,1.15,44,"G1",0.225658665451254,0.106236619661561,0.480769435528724,0.187335279358461,1
"16","Luton","FU","iTHR",155,51.5,58,45.5,0.85,1,78.1,1,48.5860479957022,34,55,"G2",0.307059625107046,0.242363200609166,0.209605623068901,0.240971551214887,1.26693996586639
"17","MancSal","BL","iTHR",156.5,48.5,48,60,0.6375,4,74.9,1,36.803350679963,106.41,5,"G1",0.126412899515455,0.10380541637471,0.283227942937288,0.486553741172548,1
"18","MancSal","FU","iTHR",194.5,62.5,63.5,68.5,0.6375,4,74.9,1,38.2330622471684,114,5,"G2",0.132385699830976,0.122894035430384,0.230260285041289,0.51445997969735,1.07723454085751
"19","NeneCorby","BL","Ctrl",133.5,36.5,46,51,0.45,2,63.4,0,3.39330343803612,74.22,113,"G3",0.187598670716637,0.185193886777552,0.25561603599305,0.371591406512761,0.733908066400566
"20","NeneCorby","FU","Ctrl",145.5,41,51.5,53,0.45,2,63.4,0,3.51228318666034,84.9,117,"G4",0.19962758576481,0.233312425405766,0.184926213814869,0.382133775014555,0.522402359637554
"21","Norfolk","BL","Ctrl",138.5,45.5,48.5,44.5,0.59,5,66.8,0,1.73920935386329,80.76,93,"G3",0.244467307701903,0.0927101976319687,0.524684692919979,0.138137801746149,0.465931846308289
"22","Norfolk","FU","Ctrl",133,42,47,44,0.59,5,66.8,0,1.774914413238,138,92,"G4",0.294800680135158,0.268733606054227,0.156905224192105,0.27956048961851,1.05451482266841
"23","Portsmouth","BL","Ctrl",158.25,46.75,53.25,58.25,0.9,1,76.8,1,53.9612457288178,21.73,50,"G3",0.337497077547361,0.222622936682043,0.24388279578803,0.195997189982566,1.38384946940126
"24","Portsmouth","FU","Ctrl",175,50,56.5,68.5,0.9,1,76.8,1,55.1390269771667,23,49,"G4",0.34051791203192,0.229951696084773,0.232656363079237,0.196874028804071,1.72962332360661
"25","SouthHam","BL","Ctrl",113,42,40.5,30.5,0.8,1,65,0,47.1182197656308,41.92,56,"G3",0.280774296455872,0.251186437710061,0.189657796823397,0.27838146901067,1.48042580457327
"26","SouthHam","FU","Ctrl",134,49.5,47,37.5,0.8,1,65,0,48.4092820432605,42,50,"G4",0.264411395027828,0.236572600411426,0.199860757594758,0.299155246965988,0.883860128510095
"27","Stockport","BL","iTHR",138,42.5,53.5,42,0.35,1,66.3,0,22.9574113136676,6.73,114,"G1",0.162837757909067,0.0884924160983552,0.56333509357146,0.185334732421118,1
"28","Stockport","FU","iTHR",158.5,43.5,59.5,55.5,0.35,1,66.3,0,23.2273544795057,34,99,"G2",0.148721269012028,0.120887152362132,0.397772910699451,0.332618667926389,1.23024875767208
"29","Stoke","BL","Ctrl",127.1,47.148,36.088,43.864,0.8,1,59.2,0,18.4311343186727,27.92,17,"G3",0.0475322773849418,0.02898508893977,0.512224429712605,0.411258203962683,0.0927958032216676
"30","Stoke","FU","Ctrl",135.5,49.5,39,47,0.8,1,59.2,0,18.7315869806197,37,14,"G4",0.0474641009131238,0.0332003534865627,0.439069410673549,0.480266134926765,0.0988287481905454
"31","Sunderland","BL","Ctrl",122,43.5,36.5,42,0.9,1,72.9,1,20.2668915615879,48.86,34,"G3",0.112423672239867,0.0953790653835608,0.301749459724949,0.490447802651623,0.372572903170544
"32","Sunderland","FU","Ctrl",151.5,50.5,52.5,48.5,0.9,1,72.9,1,20.3111092291255,54,30,"G4",0.103151342469991,0.0942852211999917,0.272900827536536,0.529662608793481,0.194749149283842
"33","TowerHam","BL","iTHR",156,44.5,60,51.5,0.4,1,77.8,1,144.294293736774,3,11,"G1",0.44879126440801,0.34462419992599,0.117634518866543,0.0889500167994556,1
"34","TowerHam","FU","iTHR",166.5,44,62.5,60,0.4,1,77.8,1,156.020827375209,48,44,"G2",0.362309838913485,0.605880821825411,0.00705999465833367,0.0247493446027706,0.597988623937477
"35","WalthamF","BL","iTHR",132,39.5,47.5,45,1,1,64.4,0,69.0203301070284,29,32,"G1",0.386328969615214,0.29275804229438,0.147109546767443,0.173803441322963,1
"36","WalthamF","FU","iTHR",145.5,44.5,54.5,46.5,1,1,64.4,0,70.5577781597089,18,62,"G2",0.495259727720864,0.330095088384822,0.0974024214841858,0.0772427624101281,1.50035473155388
"37","Warrington","BL","iTHR",168,50,67,51,0.85,1,60.3,0,11.6266055364498,18,111,"G1",0.316084670841368,0.176999347232662,0.34067678651358,0.16623919541239,1
"38","Warrington","FU","iTHR",179.5,51.5,74.5,53.5,0.85,1,60.3,0,11.72542510803,22,112,"G2",0.32612844210083,0.194481060981544,0.307843387270519,0.171547109647107,1.67691620178779
"39","Worcester","BL","Ctrl",119,40.5,45,33.5,0.4,1,61.9,0,2.3443689646846,27.31,133,"G3",0.172600504621887,0.119043379551624,0.453943290285152,0.254412825541337,0.380224817319065
"40","Worcester","FU","Ctrl",145,44.5,59.5,41,0.4,1,61.9,0,2.41116251886839,30,132,"G4",0.172622645984255,0.123970699645533,0.435755578627819,0.267651075742393,0.644954052605412
